Sample	File1	File2
CTauBwC__766	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280151/FP100001989BR_L01_95_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280151/FP100001989BR_L01_95_2.fq.gz
CTauBwC__767	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280152/FP100001989BR_L01_96_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280152/FP100001989BR_L01_96_2.fq.gz
CTauBwC__768	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280153/FP100001991BR_L01_97_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280153/FP100001991BR_L01_97_2.fq.gz
CTauBwC__769	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280154/FP100001991BR_L01_98_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280154/FP100001991BR_L01_98_2.fq.gz
CTauBwN_2245	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280155/FP100001991BR_L01_99_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280155/FP100001991BR_L01_99_2.fq.gz
CTauBwN_2248	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080405/FP100002004BL_L01_564_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080405/FP100002004BL_L01_564_2.fq.gz
CTauBwN_2250	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080406/FP100002004BL_L01_565_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080406/FP100002004BL_L01_565_2.fq.gz
CTauBwN_2252	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080407/FP100002004BL_L01_566_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080407/FP100002004BL_L01_566_2.fq.gz
CTauBwN_2261	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280156/FP100001989BR_L01_100_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210301_SEQ022_FP100001989BR_L01_SP2101280156/FP100001989BR_L01_100_2.fq.gz
CTauBwN_7800	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280157/FP100001991BR_L01_101_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280157/FP100001991BR_L01_101_2.fq.gz
CTauBwN_1937	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080408/FP100002004BL_L01_567_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080408/FP100002004BL_L01_567_2.fq.gz
CTauBwN_1973	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080409/FP100002004BL_L01_568_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080409/FP100002004BL_L01_568_2.fq.gz
CTauBwN_2053	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080410/FP100002004BL_L01_569_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080410/FP100002004BL_L01_569_2.fq.gz
CTauKeS__698	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080411/FP100002004BL_L01_570_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080411/FP100002004BL_L01_570_2.fq.gz
CTauKeS__699	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080412/FP100002004BL_L01_571_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210220_SEQ013_FP100002004BL_L01_SP2101080412/FP100002004BL_L01_571_2.fq.gz
CTauKeS__700	/jbod1/seqAfrica/raw/disk2/210130_SEQ022_FP100002218TR_L01_SP2101080413/FP100002218TR_L01_572_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210130_SEQ022_FP100002218TR_L01_SP2101080413/FP100002218TR_L01_572_2.fq.gz
CTauKeS__701	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080414/FP200000263TL_L01_573_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080414/FP200000263TL_L01_573_2.fq.gz
